state,county,city
Alabama,"Jefferson County, Alabama",Birmingham
Arizona,"Maricopa County, Arizona",Pheonix
Arkansas,"Pulaski County, Arkansas",Little Rock
California,"Los Angeles County, California",Los Angeles
Colorado,"El Paso County, Colorado",Colorado Springs
Connecticut,"Fairfield County, Connecticut",Bridgeport
Delaware,"New Castle County, Delaware",Wilmington
Florida,"Miami-Dade County, Florida",Miami
Georgia,"Fulton County, Georgia",Atlanta
Idaho,"Ada County, Idaho",Boise
Illinois,"Cook County, Illinois",Chicago
Indiana,"Marion County, Indiana",Indianapolis
Iowa,"Polk County, Iowa",Des Moines
Kansas,"Johnson County, Kansas",Overland Park
Kentucky,"Jefferson County, Kentucky",Louisville
Louisiana,"East Baton Rouge Parish, Louisiana",Baton Rouge
Maine,"Cumberland County, Maine",Portland
Maryland,"Montgomery County, Maryland",Rockville
Massachusetts,"Middlesex County, Massachusetts",Boston
Michigan,"Wayne County, Michigan",Detroit
Minnesota,"Hennepin County, Minnesota",Minneapolis
Mississippi,"Hinds County, Mississippi",Jackson
Missouri,"St. Louis County, Missouri",St. Louis
Montana,"Yellowstone County, Montana",Billings
Nebraska,"Douglas County, Nebraska",Omaha
Nevada,"Clark County, Nevada",Las Vegas
New Hampshire,"Hillsborough County, New Hampshire",Manchester
New Jersey,"Bergen County, New Jersey",Hackensack
New Mexico,"Bernalillo County, New Mexico",Albuquerque
New York,"Kings County, New York",Brooklyn
North Carolina,"Wake County, North Carolina",Raleigh
North Dakota,"Cass County, North Dakota",Fargo
Ohio,"Franklin County, Ohio",Columbus
Oklahoma,"Oklahoma County, Oklahoma",Oklahoma City
Oregon,"Multnomah County, Oregon",Portland
Pennsylvania,"Philadelphia County, Pennsylvania",Philadelphia
Rhode Island,"Providence County, Rhode Island",Providence
South Carolina,"Greenville County, South Carolina",Greenville
South Dakota,"Minnehaha County, South Dakota",Sioux Falls
Tennessee,"Shelby County, Tennessee",Memphis
Texas,"Harris County, Texas",Houston
Utah,"Salt Lake County, Utah",Salt Lake City
Vermont,"Chittenden County, Vermont",Burlington
Virginia,"Fairfax County, Virginia",Herndon
Washington,"King County, Washington",Seattle
West Virginia,"Kanawha County, West Virginia",Charleston
Wisconsin,"Milwaukee County, Wisconsin",Milwaukee
Wyoming,"Laramie County, Wyoming",Cheyenne